x, y
0, 0.0
1, 0.9848
2, -0.342
3, -0.866
4, 0.6428
5, 0.6428
6, -0.866
7, -0.342
8, 0.9848
9, 0.0
10, -0.9848
11, 0.342
12, 0.866
13, -0.6428
14, -0.6428
15, 0.866
16, 0.342
17, -0.9848
18, -0.0
19, 0.9848
20, -0.342
21, -0.866
22, 0.6428
23, 0.6428
24, -0.866
25, -0.342
26, 0.9848
27, 0.0
28, -0.9848
29, 0.342
30, 0.866
31, -0.6428
32, -0.6428
33, 0.866
34, 0.342
35, -0.9848
36, -0.0
37, 0.9848
38, -0.342
39, -0.866
40, 0.6428
41, 0.6428
42, -0.866
43, -0.342
44, 0.9848
45, -0.0
46, -0.9848
47, 0.342
48, 0.866
49, -0.6428
50, -0.6428
51, 0.866
52, 0.342
53, -0.9848
54, -0.0
55, 0.9848
56, -0.342
57, -0.866
58, 0.6428
59, 0.6428
60, -0.866
61, -0.342
62, 0.9848
63, 0.0
64, -0.9848
65, 0.342
66, 0.866
67, -0.6428
68, -0.6428
69, 0.866
70, 0.342
71, -0.9848
72, -0.0
73, 0.9848
74, -0.342
75, -0.866
76, 0.6428
77, 0.6428
78, -0.866
79, -0.342
80, 0.9848
81, 0.0
82, -0.9848
83, 0.342
84, 0.866
85, -0.6428
86, -0.6428
87, 0.866
88, 0.342
89, -0.9848
90, 0.0
91, 0.9848
92, -0.342
93, -0.866
94, 0.6428
95, 0.6428
96, -0.866
97, -0.342
98, 0.9848
99, -0.0
100, -0.9848
101, 0.342
102, 0.866
103, -0.6428
104, -0.6428
105, 0.866
106, 0.342
107, -0.9848
108, -0.0
109, 0.9848
110, -0.342
111, -0.866
112, 0.6428
113, 0.6428
114, -0.866
115, -0.342
116, 0.9848
117, 0.0
118, -0.9848
119, 0.342
120, 0.866
121, -0.6428
122, -0.6428
123, 0.866
124, 0.342
125, -0.9848
126, -0.0
127, 0.9848
128, -0.342
129, -0.866
130, 0.6428
131, 0.6428
132, -0.866
133, -0.342
134, 0.9848
135, 0.0
136, -0.9848
137, 0.342
138, 0.866
139, -0.6428
140, -0.6428
141, 0.866
142, 0.342
143, -0.9848
144, -0.0
145, 0.9848
146, -0.342
147, -0.866
148, 0.6428
149, 0.6428
150, -0.866
151, -0.342
152, 0.9848
153, 0.0
154, -0.9848
155, 0.342
156, 0.866
157, -0.6428
158, -0.6428
159, 0.866
160, 0.342
161, -0.9848
162, -0.0
163, 0.9848
164, -0.342
165, -0.866
166, 0.6428
167, 0.6428
168, -0.866
169, -0.342
170, 0.9848
171, 0.0
172, -0.9848
173, 0.342
174, 0.866
175, -0.6428
176, -0.6428
177, 0.866
178, 0.342
179, -0.9848
180, 0.0
181, 0.9848
182, -0.342
183, -0.866
184, 0.6428
185, 0.6428
186, -0.866
187, -0.342
188, 0.9848
189, -0.0
190, -0.9848
191, 0.342
192, 0.866
193, -0.6428
194, -0.6428
195, 0.866
196, 0.342
197, -0.9848
198, 0.0
199, 0.9848
200, -0.342
201, -0.866
202, 0.6428
203, 0.6428
204, -0.866
205, -0.342
206, 0.9848
207, -0.0
208, -0.9848
209, 0.342
210, 0.866
211, -0.6428
212, -0.6428
213, 0.866
214, 0.342
215, -0.9848
216, -0.0
217, 0.9848
218, -0.342
219, -0.866
220, 0.6428
221, 0.6428
222, -0.866
223, -0.342
224, 0.9848
225, 0.0
226, -0.9848
227, 0.342
228, 0.866
229, -0.6428
230, -0.6428
231, 0.866
232, 0.342
233, -0.9848
234, -0.0
235, 0.9848
236, -0.342
237, -0.866
238, 0.6428
239, 0.6428
240, -0.866
241, -0.342
242, 0.9848
243, 0.0
244, -0.9848
245, 0.342
246, 0.866
247, -0.6428
248, -0.6428
249, 0.866
250, 0.342
251, -0.9848
252, -0.0
253, 0.9848
254, -0.342
255, -0.866
256, 0.6428
257, 0.6428
258, -0.866
259, -0.342
260, 0.9848
261, 0.0
262, -0.9848
263, 0.342
264, 0.866
265, -0.6428
266, -0.6428
267, 0.866
268, 0.342
269, -0.9848
270, -0.0
271, 0.9848
272, -0.342
273, -0.866
274, 0.6428
275, 0.6428
276, -0.866
277, -0.342
278, 0.9848
279, 0.0
280, -0.9848
281, 0.342
282, 0.866
283, -0.6428
284, -0.6428
285, 0.866
286, 0.342
287, -0.9848
288, -0.0
289, 0.9848
290, -0.342
291, -0.866
292, 0.6428
293, 0.6428
294, -0.866
295, -0.342
296, 0.9848
297, 0.0
298, -0.9848
299, 0.342
300, 0.866
301, -0.6428
302, -0.6428
303, 0.866
304, 0.342
305, -0.9848
306, -0.0
307, 0.9848
308, -0.342
309, -0.866
310, 0.6428
311, 0.6428
312, -0.866
313, -0.342
314, 0.9848
315, 0.0
316, -0.9848
317, 0.342
318, 0.866
319, -0.6428
320, -0.6428
321, 0.866
322, 0.342
323, -0.9848
324, -0.0
325, 0.9848
326, -0.342
327, -0.866
328, 0.6428
329, 0.6428
330, -0.866
331, -0.342
332, 0.9848
333, 0.0
334, -0.9848
335, 0.342
336, 0.866
337, -0.6428
338, -0.6428
339, 0.866
340, 0.342
341, -0.9848
342, -0.0
343, 0.9848
344, -0.342
345, -0.866
346, 0.6428
347, 0.6428
348, -0.866
349, -0.342
350, 0.9848
351, 0.0
352, -0.9848
353, 0.342
354, 0.866
355, -0.6428
356, -0.6428
357, 0.866
358, 0.342
359, -0.9848
360, 0.0
